Order_ID,Batch_Number,Product_Name,Category,Dosage_Form,Manufacturer,Warehouse,Hospital_Client,City,Logistics_Company,Order_Date,Dispatch_Date,Delivery_Date,Days_To_Deliver,Delivery_Status,Quantity_Units,Unit_Price_EUR,Total_Value_EUR,Discount_Percentage,Final_Value_EUR,Payment_Status,Cold_Chain_Required,Temperature_Zone,Damage_Reported,Return_Reason,Expiry_Date,Stock_Level,Reorder_Point,Lead_Time_Days,Compliance_Status
ORD000001,BATCH00001,Metformin 500mg,Diabetes,Tablet,Pfizer,Cologne Warehouse,Stuttgart Health Center,Cologne,FedEx Health,13-10-2022,14-10-2022,Not Delivered Yet,Not Applicable,In Transit,4517,43.93,198431.81,8.4,181763.54,Overdue,No,Ambient (15-25°C),No,Not Applicable,13-12-2023,39553,717,9,Compliant
ORD000002,BATCH00002,Losartan 50mg,Hypertension,Tablet,Bayer,Munich Hub,Nuremberg Clinic,Munich,ColdChain Logistics,14-01-2022,16-01-2022,Not Delivered Yet,Not Applicable,Pending,3512,170.46,598655.52,3.1,580097.2,Paid,No,Ambient (15-25°C),No,Not Applicable,03-12-2024,23626,3317,10,Compliant
ORD000003,BATCH00003,Amoxicillin 250mg,Antibiotic,Capsule,GSK,Stuttgart Center,Munich Clinic,Stuttgart,MedExpress,04-02-2025,07-02-2025,14-02-2025,10,Delivered,3012,288.89,870136.68,14.1,747447.41,Paid,No,Refrigerated (2-8°C),No,Not Applicable,08-05-2026,5329,2407,14,Compliant
ORD000004,BATCH00004,Vitamin D3 1000IU,Supplement,Tablet,Johnson & Johnson,Frankfurt Depot,Cologne Medical Hub,Frankfurt,FedEx Health,29-12-2023,31-12-2023,18-01-2024,20,Delayed,2237,351.06,785321.22,13.7,677732.21,Overdue,No,Refrigerated (2-8°C),No,Not Applicable,23-05-2025,47884,2505,3,Non-Compliant
ORD000005,BATCH00005,Vitamin D3 1000IU,Supplement,Tablet,Johnson & Johnson,Cologne Warehouse,Hanover Medical Center,Cologne,FedEx Health,25-04-2022,27-04-2022,05-05-2022,10,Delayed,2634,200.88,529117.92,1.3,522239.39,Pending,No,Refrigerated (2-8°C),No,Not Applicable,29-06-2026,26028,4258,3,Compliant
ORD000006,BATCH00006,Atorvastatin 10mg,Cholesterol,Tablet,AstraZeneca,Cologne Warehouse,Hanover Medical Center,Cologne,ColdChain Logistics,12-04-2025,16-04-2025,Not Delivered Yet,Not Applicable,Pending,4830,200,966000,4.4,923496,Paid,No,Refrigerated (2-8°C),No,Not Applicable,20-01-2027,7285,1752,11,Compliant
ORD000007,BATCH00007,COVID-19 Vaccine,Vaccine,Injection,Merck,Berlin Central,Dresden Hospital,Berlin,MedExpress,19-12-2024,22-12-2024,Cancelled,Not Applicable,Cancelled,4582,430.46,1972367.72,0.2,1968422.98,Overdue,Yes,Refrigerated (2-8°C),No,Not Applicable,10-08-2026,49309,2685,13,Compliant
ORD000008,BATCH00008,Metformin 500mg,Diabetes,Tablet,Johnson & Johnson,Frankfurt Depot,Hamburg Medical Center,Frankfurt,MedExpress,24-06-2023,29-06-2023,06-07-2023,12,Delivered,1513,254.09,384438.17,2.1,376364.97,Overdue,No,Ambient (15-25°C),No,Not Applicable,25-12-2027,40009,2129,3,Compliant
ORD000009,BATCH00009,Omeprazole 20mg,Gastric,Capsule,Sanofi,Leipzig Store,Hanover Medical Center,Leipzig,DHL Medical,27-09-2024,28-09-2024,07-10-2024,10,Delayed,3023,439.42,1328366.66,16.6,1107857.79,Overdue,No,Ambient (15-25°C),No,Not Applicable,18-06-2027,5261,1201,12,Non-Compliant
ORD000010,BATCH00010,Ibuprofen 400mg,Anti-inflammatory,Tablet,Sanofi,Leipzig Store,Hamburg Medical Center,Leipzig,FedEx Health,30-01-2025,01-02-2025,Cancelled,Not Applicable,Cancelled,2221,264.07,586499.47,12.1,515533.03,Paid,No,Refrigerated (2-8°C),No,Not Applicable,08-04-2027,46823,3053,7,Compliant
